"Year","Survey","Title","DataFile","StataDataFile","Programs","Dictionary","ZipDownloadURL","DataFileGroup","SurveyEndYear","SurveyStartYear","TotalSurveyCount","SurveyCountByYear","DataFileGroupEndYear","DataFileGroupStartYear","ReferenceTableDownloadUrl"
2020,"Institutional Characteristics","Directory information","HD2020","HD2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/HD2020.zip","HD",2020,1980,154,5,2020,2002,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Institutional Characteristics","Educational offerings, organization, services and athletic associations","IC2020","IC2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/IC2020.zip","IC",2020,1980,154,5,2020,1980,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Institutional Characteristics","Student charges for academic year programs","IC2020_AY","IC2020_AY_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/IC2020_AY.zip","IC_AY",2020,1980,154,5,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Institutional Characteristics","Student charges by program (vocational programs)","IC2020_PY","IC2020_PY_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/IC2020_PY.zip","IC_PY",2020,1980,154,5,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Institutional Characteristics","Response status for all survey components","FLAGS2020","FLAGS2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip","FLAGS",2020,1980,154,5,2020,2004,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"12-Month Enrollment","12-month unduplicated headcount by race/ethnicity, gender and level of student: 2019-20","EFFY2020","EFFY2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EFFY2020.zip","EFFY",2020,1997,53,4,2020,2002,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"12-Month Enrollment","12-month unduplicated headcount by distance education status and student level: 2019-20","EFFY2020_DIST","EFFY2020_DIST_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EFFY2020_DIST.zip","EFFY_DIST",2020,1997,53,4,2020,2020,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"12-Month Enrollment","12-month instructional activity: 2019-20","EFIA2020","EFIA2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EFIA2020.zip","EFIA",2020,1997,53,4,2020,2002,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"12-Month Enrollment","Response status for all survey components","FLAGS2020","FLAGS2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip","FLAGS",2020,1997,53,4,2020,2004,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Admissions and Test Scores","Admission considerations, applications, admissions, enrollees and test scores, fall 2020","ADM2020","ADM2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/ADM2020.zip","ADM",2020,2001,27,2,2020,2014,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Admissions and Test Scores","Response status for all survey components","FLAGS2020","FLAGS2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip","FLAGS",2020,2001,27,2,2020,2004,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Race/ethnicity, gender, attendance status, and level of student: Fall 2020","EF2020A","EF2020A_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EF2020A.zip","EFA",2020,1980,186,7,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2020","EF2020CP","EF2020CP_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EF2020CP.zip","EFCP",2020,1980,186,7,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Age category, gender, attendance status, and level of student: Fall 2020","EF2020B","EF2020B_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EF2020B.zip","EFB",2020,1980,186,7,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Residence and migration of first-time freshman: Fall 2020","EF2020C","EF2020C_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EF2020C.zip","EFC",2020,1980,186,7,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Total entering class, retention rates, and student-to-faculty ratio: Fall 2020","EF2020D","EF2020D_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EF2020D.zip","EFD",2020,1980,186,7,2020,2000,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Distance education status and level of student: Fall 2020","EF2020A_DIST","EF2020A_DIST_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/EF2020A_DIST.zip","EFA_DIST",2020,1980,186,7,2020,2012,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Fall Enrollment","Response status for all survey components","FLAGS2020","FLAGS2020_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/FLAGS2020.zip","FLAGS",2020,1980,186,7,2020,2004,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Completions","Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2019 to June 30, 2020","C2020_A","C2020_A_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/C2020_A.zip","C_A",2020,1980,119,5,2020,1995,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Completions","Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2019 to June 30, 2020","C2020_B","C2020_B_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/C2020_B.zip","C_B",2020,1980,119,5,2020,1995,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Completions","Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2019 to June 30, 2020","C2020_C","C2020_C_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/C2020_C.zip","C_C",2020,1980,119,5,2020,2012,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
2020,"Completions","Number of programs offered and number of programs offered via distance education, by award level: July 1, 2019 to June 30, 2020","C2020DEP","C2020DEP_STATA","SPSS,SAS,STATA","Dictionary","https://nces.ed.gov/ipeds/datacenter/data/C2020DEP.zip","CDEP",2020,1980,119,5,2020,2013,"https://nces.ed.gov/ipeds/tablefiles/tableDocs/IPEDS202020Tablesdoc.xlsx"
